name,rating,date,text,text_clean,text_final,sentimen
erdhani yasit,1,10 bulan lalu,"Pantai nya kotor tiket mahal
Masuk 40
Sewa gazebo 100
Sewa tikar 30
Sangat menyesal",pantai kotor tiket mahal masuk sewa gazebo sewa tikar sangat menyesal,pantai kotor tiket mahal masuk sewa gazebo sewa tikar sangat sesal,negatif
Agusman Ruslan,5,10 bulan lalu,Rame,rame,rame,netral
Chel,2,11 bulan lalu,"Maaf gak banyak ambil foto dilokasi, semoga review ini bisa membantu.

Yang dibayar di gerbang masuk (wajib):
1. Tiket masuk: Rp35.000/orang (dewasa dan anak-anak sama)
2. Parkir mobil pribadi: Rp10.000/mobil

Biaya tambahan di dalam lokasi wisata (opsional, tergantung aktivitas):
3. Sewa gazebo: Mulai dari Rp50.000 (ukuran kecil) hingga Rp200.000 (ukuran besar)
4. Kamar mandi/toilet: Rp3.000/orang
5. Sewa kapal: Rp200.000/kapal (maks. 10 orang dewasa, sistem sewa per kapal, bukan per orang)
6. Tiket masuk ke pulau (jika menyeberang): Rp10.000/orang
7. Tiket masuk ke area pantai dengan perosotan: Rp10.000/orang
8. Sewa kano: Rp35.000/jam
9. Banana Boat: Rp25.000/orang (maks. 7 orang dewasa)
10. Rolling Donat: Rp25.000/orang (maks. 6 orang dewasa)

Perlu diperhatikan bahwa beberapa biaya bersifat wajib dan lainnya tergantung aktivitas yang dipilih. Jadi, sebaiknya siapkan dana tambahan jika ingin menikmati semua fasilitas.

Jadi bisa dihitung sendiri ya bapak/ibu disesuaikan dengan kebutuhan.

Saya berkunjung ke Pantai Mutun 2 pada hari Sabtu, 12 April 2025 bersama keluarga. Saat itu kondisi pantai cukup ramai, namun masih nyaman untuk dinikmati. Awalnya kami datang ke area dekat dermaga (gratis masuk, parkir Rp50.000/mobil), namun lokasi tersebut lebih cocok untuk wisatawan yang ingin menyeberang ke pulau, bukan untuk bermain di pantai, jadi kami memutuskan pindah ke area Pantai Mutun 2.

Garis pantainya ternyata cukup panjang dan bersebelahan langsung dengan Hotel Marriot Lampung. Ada area yang bersih dari karang dan cocok untuk bermain air, sayangnya malah digunakan sebagai tempat parkir kapal. Semoga ke depannya pengelola bisa menata area ini lebih baik agar pengunjung lebih leluasa berenang, apalagi harga tiket masuknya sudah cukup tinggi (dan belum ada perubahan dari keluhan serupa di review sebelumnya).

Fasilitas di dalam cukup lengkap: ada penjual makanan dan minuman dengan harga relatif terjangkau, musholla kecil tapi bersih, toilet dan kamar mandi cukup banyak, serta penjual baju dan suvenir juga tersedia.

Untuk sekadar bersantai dan menikmati suasana, tempat ini cukup nyaman dan adem, terutama di area yang banyak pepohonan. Namun, kalau ingin berenang, sebaiknya menyeberang ke pulau yang airnya lebih jernih dan minim karang.

Terima kasih.",maaf tidak banyak ambil foto dilokasi semoga review membantu dibayar gerbang masuk wajib tiket masuk rporang dewasa anakanak sama parkir mobil pribadi rpmobil biaya tambahan lokasi wisata opsional tergantung aktivitas sewa gazebo mulai rp ukuran kecil hingga rp ukuran besar kamar manditoilet rporang sewa kapal rpkapal maks orang dewasa sistem sewa per kapal bukan per orang tiket masuk pulau menyeberang rporang tiket masuk area pantai perosotan rporang sewa kano rpjam banana boat rporang maks orang dewasa rolling donat rporang maks orang dewasa perlu diperhatikan beberapa biaya bersifat wajib lainnya tergantung aktivitas dipilih jadi sebaiknya siapkan dana tambahan menikmati semua fasilitas jadi dihitung sendiri bapakibu disesuaikan kebutuhan berkunjung pantai mutun hari sabtu april bersama keluarga kondisi pantai cukup ramai nyaman dinikmati awalnya datang area dekat dermaga gratis masuk parkir rpmobil lokasi tersebut lebih cocok wisatawan menyeberang pulau bukan bermain pantai jadi memutuskan pindah area pantai mutun garis pantainya ternyata cukup panjang bersebelahan langsung hotel marriot lampung area bersih karang cocok bermain air sayangnya malah digunakan tempat parkir kapal semoga depannya pengelola menata area lebih baik pengunjung lebih leluasa berenang harga tiket masuknya cukup tinggi belum perubahan keluhan serupa review sebelumnya fasilitas cukup lengkap penjual makanan minuman harga relatif terjangkau musholla kecil bersih toilet kamar mandi cukup banyak penjual baju suvenir tersedia sekadar bersantai menikmati suasana tempat cukup nyaman adem terutama area banyak pepohonan kalau berenang sebaiknya menyeberang pulau airnya lebih jernih minim karang terima kasih,maaf tidak banyak ambil foto lokasi moga review bantu bayar gerbang masuk wajib tiket masuk rporang dewasa anakanak sama parkir mobil pribadi rpmobil biaya tambah lokasi wisata opsional gantung aktivitas sewa gazebo mulai rp ukur kecil hingga rp ukur besar kamar manditoilet rporang sewa kapal rpkapal maks orang dewasa sistem sewa per kapal bukan per orang tiket masuk pulau seberang rporang tiket masuk area pantai perosot rporang sewa kano rpjam banana boat rporang maks orang dewasa rolling donat rporang maks orang dewasa perlu perhati beberapa biaya sifat wajib lain gantung aktivitas pilih jadi baik siap dana tambah nikmat semua fasilitas jadi hitung sendiri bapakibu sesuai butuh kunjung pantai mutun hari sabtu april sama keluarga kondisi pantai cukup ramai nyaman nikmat awal datang area dekat dermaga gratis masuk parkir rpmobil lokasi sebut lebih cocok wisatawan seberang pulau bukan main pantai jadi putus pindah area pantai mutun garis pantai nyata cukup panjang bahan langsung hotel marriot lampung area bersih karang cocok main air sayang malah guna tempat parkir kapal moga depan kelola tata area lebih baik unjung lebih leluasa renang harga tiket masuk cukup tinggi belum ubah keluh rupa review belum fasilitas cukup lengkap jual makan minum harga relatif jangkau musholla kecil bersih toilet kamar mandi cukup banyak jual baju suvenir sedia sekadar santa nikmat suasana tempat cukup nyaman adem utama area banyak pohon kalau renang baik seberang pulau air lebih jernih minim karang terima kasih,positif
DonSjbt,5,11 bulan lalu,Tempat yang bagus,tempat bagus,tempat bagus,positif
Finoto Aji,1,11 bulan lalu,g bagusss,g bagusss,g bagusss,netral
Daud Sudrajat,5,11 bulan lalu,Mantap,mantap,mantap,positif
Waluyo HINO Chanel,2,11 bulan lalu,"Memang harus extra... Lumayan untuk tiketnya... Nyebrang, biaya sewa gazebo.. Tiket lagi di pulau...
Tiket masuk 35.000
Gazebo 50.000
Kapal 200.000
Tiket pulau 10.000
Mandi 5.000
Kondisi pantainya kurang rapi dan bersih..",memang extra lumayan tiketnya nyebrang biaya sewa gazebo tiket pulau tiket masuk gazebo kapal tiket pulau mandi kondisi pantainya kurang rapi bersih,memang extra lumayan tiket nyebrang biaya sewa gazebo tiket pulau tiket masuk gazebo kapal tiket pulau mandi kondisi pantai kurang rapi bersih,netral
Sukma wati,1,setahun lalu,"Biaya masuk mahal
Jalan ny jelek
Kebersihan ga terjaga

Ga ad apa”",biaya masuk mahal jalan ny jelek kebersihan tidak terjaga tidak ad apa,biaya masuk mahal jalan ny jelek bersih tidak jaga tidak ad apa,negatif
Ihsan al Wafi,1,setahun lalu,"mahal,pungli,toilet bau pakai air sawah,jangan kesini lagi",mahalpunglitoilet bau pakai air sawahjangan kesini,mahalpunglitoilet bau pakai air sawahjangan kesini,netral
Muhamad Ridho aulia,1,setahun lalu,"Mahal,petugas ngambil untung,bilas di toilet pakai air sawah",mahalpetugas ngambil untungbilas toilet pakai air sawah,mahalpetugas ngambil untungbilas toilet pakai air sawah,netral
Ahmad Mishbahuddin,1,setahun lalu,"MAHAL,BILAS PAKAI AIR SAWAH DI TOILET NYA,JANGAN KESINI",mahalbilas pakai air sawah toilet nyajangan kesini,mahalbilas pakai air sawah toilet nyajangan kesini,netral
qorib alFath,5,Diedit setahun lalu,"Pantainya indah.. Aksesnya lancar..
Htm 35rb perorang, parkir mobil 10rb.
Nyebrang ke pulau tangkil 200rb (minta bonus keliling pulau tangkil jgn lupa, pasti dikasih)
Htm pulau tangkilnya 10rb perorang..",pantainya indah aksesnya lancar htm rb perorang parkir mobil rb nyebrang pulau tangkil rb minta bonus keliling pulau tangkil jgn lupa dikasih htm pulau tangkilnya rb perorang,pantai indah akses lancar htm rb orang parkir mobil rb nyebrang pulau tangkil rb minta bonus keliling pulau tangkil jgn lupa kasih htm pulau tangkil rb orang,netral
dodo franca,4,setahun lalu,"Harusnya ini bisa lebih bagus, potensi wisata yg cukup menjajikan, tetapi ini juga berpotensi menberikan pengalaman buruk karena parkir kurang luas, pantai nya lumayan banyak sampah",harusnya lebih bagus potensi wisata cukup menjajikan berpotensi menberikan pengalaman buruk parkir kurang luas pantai lumayan banyak sampah,harus lebih bagus potensi wisata cukup menjajikan potensi menberikan alam buruk parkir kurang luas pantai lumayan banyak sampah,negatif
Almas Kaulika,3,setahun lalu,"mending nyabrang ke tangkil, wc nya jorok ngantri, ga nyaman.",mending nyabrang tangkil wc jorok ngantri tidak nyaman,mending nyabrang tangkil wc jorok ngantri tidak nyaman,netral
Anung Nurselo,2,Diedit setahun lalu,Pantai biasa saja.... Yg luar biasa untuk parkir.... Dengan tiket retribusi yg ga jelas... Tiket bekas....,pantai biasa luar biasa parkir tiket retribusi tidak jelas tiket bekas,pantai biasa luar biasa parkir tiket retribusi tidak jelas tiket bekas,negatif
Sutris No,4,setahun lalu,Pernah Kesitu saat lulusan SD pariwisata,pernah kesitu lulusan sd pariwisata,pernah kesitu lulus sd pariwisata,netral
Ivan Kezuma,5,setahun lalu,"Cocok buat liburan anak2,ombak ny tenang. Syang ny mo du2k d saung hrs nyewa,bda sm pntai sblah. Free",cocok buat liburan anakombak ny tenang syang ny mo duk d saung hrs nyewabda sm pntai sblah free,cocok buat libur anakombak ny tenang syang ny mo duk d saung hrs nyewabda sm pntai sblah free,netral
Arleo Desnando,5,setahun lalu,"bagus, cuma lebih bagus nyebrang pulau tangkil nya. pasir nya luas, cocok untuk anak anak bermain. tapi untuk yang di ujung pulau tolong dong sampah nya dibersihkan. banyak pecahan botol, jdi ngeri mau jalan. sampah betaburan di air (khusus di ujung pulau tangkil) untuk sekitaran palang pulau sih aman. view bagus, penjual makanan banyak. keamanan oke, selalu diperingati kalau ada yg melewati batas saat mandi di pantai nya.",bagus cuma lebih bagus nyebrang pulau tangkil pasir luas cocok anak anak bermain ujung pulau sampah dibersihkan banyak pecahan botol jdi ngeri mau jalan sampah betaburan air khusus ujung pulau tangkil sekitaran palang pulau aman view bagus penjual makanan banyak keamanan oke selalu diperingati kalau melewati batas mandi pantai,bagus cuma lebih bagus nyebrang pulau tangkil pasir luas cocok anak anak main ujung pulau sampah bersih banyak pecah botol jdi ngeri mau jalan sampah betaburan air khusus ujung pulau tangkil sekitar palang pulau aman view bagus jual makan banyak aman oke selalu ingat kalau lewat batas mandi pantai,positif
Juli Desi Irene Lumbanbatu,5,setahun lalu,"Suka saya, bayar gak terlalu mahal dan pasirnya dari semua area bagus",suka bayar tidak terlalu mahal pasirnya semua area bagus,suka bayar tidak terlalu mahal pasir semua area bagus,negatif
Marnina Mustika Ayu,3,setahun lalu,Kurang terawat saja,kurang terawat,kurang awat,negatif
Susan Arisanti,3,setahun lalu,Apa apa duit padahal udah bayar tiket masuk 😌 …,apa apa duit padahal udah bayar tiket masuk,apa apa duit padahal udah bayar tiket masuk,netral
Ehsanur_ Hasanudin,3,setahun lalu,Banyak kenangan,banyak kenangan,banyak kenang,netral
Amethy Sayyara,5,setahun lalu,Asik tuk menemani anak² mandi di pinggir pantai,asik tuk menemani anak mandi pinggir pantai,asik tuk tani anak mandi pinggir pantai,netral
auto game99,1,setahun lalu,Tolong pak tempat solatnya kasian yang mau sholat,pak tempat solatnya kasian mau sholat,pak tempat solatnya kasi mau sholat,netral
retno yuliati,4,setahun lalu,"Sejujurnya pantainya lumayan oke, toilet bersih. Alangkah baiknya jika kapal2 disekitar pantai ditertibkan,agak mengganggu yg berenang. Sebaiknya sih ada space/ dermaga khusus untuk kapal2 ini. Belum lg dr parkiran sudah ditunggu2 oleh pemilik kapal yg menawarkan paket ke pulau2 sekitar. Setiap jalan ada lagi yg menawari. Ada baiknya jika pemilik2 kapal ini diorganisir, dilayani satu pintu. Jadi, satu loket saja untuk pelayanan ke pulau2, jetski, dan permainan2 lain. Atau lebih baik lg jika ada jam2 khusus menuju pulau, jadi dikenakan tiket per orang alih2 sistem Carter! Halow Pemda terkait, semoga anda membaca review ini.  Kondisi alam anda terlalu baguus,sayang jika dikelola kurang profesional. Mungkin bisa dimulai dari studi banding.  Maaf klo saya harsh, saya cuma ingin punya kebanggan sbg putra Lampung! Salam Sang Bumi Ruwa Jurai!",sejujurnya pantainya lumayan oke toilet bersih alangkah baiknya kapal disekitar pantai ditertibkanagak mengganggu berenang sebaiknya space dermaga khusus kapal belum lg parkiran ditunggu pemilik kapal menawarkan paket pulau jalan menawari baiknya pemilik kapal diorganisir dilayani satu pintu jadi satu loket pelayanan pulau jetski permainan lebih baik lg jam khusus menuju pulau jadi dikenakan tiket per orang alih sistem carter halow pemda terkait semoga membaca review kondisi alam terlalu baguussayang dikelola kurang profesional mungkin dimulai studi banding maaf klo harsh cuma punya kebanggan sbg putra lampung salam sang bumi ruwa jurai,jujur pantai lumayan oke toilet bersih alangkah baik kapal sekitar pantai ditertibkanagak ganggu renang baik space dermaga khusus kapal belum lg parkir tunggu milik kapal tawar paket pulau jalan tawar baik milik kapal organisir layan satu pintu jadi satu loket layan pulau jetski main lebih baik lg jam khusus tuju pulau jadi kena tiket per orang alih sistem carter halow pemda kait moga baca review kondisi alam terlalu baguussayang kelola kurang profesional mungkin mulai studi banding maaf klo harsh cuma punya banggan sbg putra lampung salam sang bumi ruwa jurai,positif
elly salim,5,setahun lalu,Pantai bisa buat anak-anak main pasir dan berenang. Tiket masuk nya 35.000 per org. Sewa pondokan 100-200 rb per pondok.,pantai buat anakanak main pasir berenang tiket masuk per org sewa pondokan rb per pondok,pantai buat anakanak main pasir renang tiket masuk per org sewa pondok rb per pondok,netral
Sulaeman Salman,4,setahun lalu,"Bagus untuk keluarga, ramah, 35 rb perorang, mobil 10 rb,",bagus keluarga ramah rb perorang mobil rb,bagus keluarga ramah rb orang mobil rb,positif
NAIL ALKAUTSAR PROPERTINDO,5,setahun lalu,Buat hiburan,buat hiburan,buat hibur,netral
Rizkiyanto,1,setahun lalu,Biayanya terlalu mahal. Ber 6 + mobil dikenakan biaya 220rb. Trus pantainya kotor.,biayanya terlalu mahal ber mobil dikenakan biaya rb trus pantainya kotor,biaya terlalu mahal ber mobil kena biaya rb trus pantai kotor,negatif
Dudi Komaruddin,5,Diedit setahun lalu,"Pantainya tenang, cocok untuk bawa keluarga...",pantainya tenang cocok bawa keluarga,pantai tenang cocok bawa keluarga,netral
Ngain Putra,1,setahun lalu,jelek pantainya,jelek pantainya,jelek pantai,negatif
Yudhi Rahmat,5,setahun lalu,Asik tempatnya rekomendasi bagi keluarga,asik tempatnya rekomendasi keluarga,asik tempat rekomendasi keluarga,positif
Muhammad Aditya,5,Diedit setahun lalu,Pemandangannya bagus tapi terlalu banyak orang,pemandangannya bagus terlalu banyak orang,pandang bagus terlalu banyak orang,positif
Lisdan Ena,5,setahun lalu,"Sung sangat ,menyenagkan dan kagum dg keindahan alam sertai pantai yg bersih indah dan estotik",sung sangat menyenagkan kagum dg keindahan alam sertai pantai bersih indah estotik,sung sangat menyenagkan kagum dg indah alam serta pantai bersih indah estotik,positif
Billy Juan Felix,5,setahun lalu,"Pantai Mutun adalah surga pesisir yang tenang di mana air laut yang berwarna biru kehijauan dengan lembut menyentuh pasir pantai yang halus. Di cakrawala, terdapat deretan perahu yang tenang, mencerminkan warisan maritim yang kaya dari pantai ini. Pegunungan yang menjulang megah, diselimuti kabut yang misterius. Pepohonan hijau yang subur membingkai pemandangan indah ini, membisikkan kisah-kisah keindahan tropis, menjadikan Pantai Mutun tempat yang sempurna untuk refleksi dan seni alam. 🌴🌊",pantai mutun surga pesisir tenang mana air laut berwarna biru kehijauan lembut menyentuh pasir pantai halus cakrawala terdapat deretan perahu tenang mencerminkan warisan maritim kaya pantai pegunungan menjulang megah diselimuti kabut misterius pepohonan hijau subur membingkai pemandangan indah membisikkan kisahkisah keindahan tropis menjadikan pantai mutun tempat sempurna refleksi seni alam,pantai mutun surga pesisir tenang mana air laut warna biru hijau lembut sentuh pasir pantai halus cakrawala dapat deret perahu tenang cermin waris maritim kaya pantai gunung julang megah limut kabut misterius pohon hijau subur bingkai pandang indah bisik kisahkisah indah tropis jadi pantai mutun tempat sempurna refleksi seni alam,netral
Muhammad Rasimum,5,setahun lalu,Keren tempatnya ramai,keren tempatnya ramai,keren tempat ramai,positif
Haikal Gunawan,5,setahun lalu,Bagus pantai nya dan aku suka banget,bagus pantai aku suka banget,bagus pantai aku suka banget,positif
Rahmat Ya qadhafi,5,setahun lalu,Cakep,cakep,cakep,netral
Afsyah Albana,4,setahun lalu,Jelek,jelek,jelek,negatif
Muslimin Mhuslimin,4,setahun lalu,Bagus namun untuk kebersihan nya minta di tingkatkan lagi.,bagus kebersihan minta tingkatkan,bagus bersih minta tingkat,positif
Iwann Sah,1,setahun lalu,Sepi jelek,sepi jelek,sepi jelek,negatif
Dono Pri,5,setahun lalu,"Pantai muntun bagus sekali, bisa lihat pantai pulau dan gunung 👍👍👍 …",pantai muntun bagus sekali lihat pantai pulau gunung,pantai muntun bagus sekali lihat pantai pulau gunung,positif
Handi,5,setahun lalu,Penataan rambut,penataan rambut,tata rambut,netral
Muhammad Rio Sales,5,setahun lalu,"Masuk 35rb/orang
Parkir mobil 10rb
Pondokan di sewakan 100rb
Naik kapal 20rb/orang
Mandi bilas 3rb",masuk rborang parkir mobil rb pondokan sewakan rb naik kapal rborang mandi bilas rb,masuk rborang parkir mobil rb pondok sewa rb naik kapal rborang mandi bilas rb,netral
Riri Suka Jalan,5,setahun lalu,"Uang Masuk Rp 35.000,-/orang. Pantainya lumayan bersih. tapi sayang pas berkunjung lagi ramai banged dan banyak kapal penumpang yang lagi sandar.Jadi kurang bisa di nikmati.Disini ada pos lifeguardnya juga. Kamar Mandinya lumayan Bersih Rp 3.000,- ada Jual plastik kresek buat baju basah Rp 2.000,-.",uang masuk rp orang pantainya lumayan bersih sayang pas berkunjung ramai banged banyak kapal penumpang sandarjadi kurang nikmatidisini pos lifeguardnya kamar mandinya lumayan bersih rp jual plastik kresek buat baju basah rp,uang masuk rp orang pantai lumayan bersih sayang pas kunjung ramai banged banyak kapal tumpang sandarjadi kurang nikmatidisini pos lifeguardnya kamar mandi lumayan bersih rp jual plastik kresek buat baju basah rp,positif
Eunice Adeline Thea,5,setahun lalu,"Pantainya dekat dengan kota bandar lampung, untuk quick escape/quick trip oke banget

Price affordable, air lautnya bersih banget🫶🏻, pasirnya pasir putih, pantainya cukup bersih walaupun ada sedikit sampah plastik",pantainya dekat kota bandar lampung quick escapequick trip oke banget price affordable air lautnya bersih banget pasirnya pasir putih pantainya cukup bersih walaupun sedikit sampah plastik,pantai dekat kota bandar lampung quick escapequick trip oke banget price affordable air laut bersih banget pasir pasir putih pantai cukup bersih walaupun sedikit sampah plastik,positif
Aqmal Alfarhan,5,setahun lalu,MANTAB,mantab,mantab,netral
I Wayan Sudirko,5,setahun lalu,"Tempat wisata laut dan terapi kesehatan struk,  urat kejepit banyak yg sembuh asal rutin",tempat wisata laut terapi kesehatan struk urat kejepit banyak sembuh asal rutin,tempat wisata laut terapi sehat struk urat jepit banyak sembuh asal rutin,netral
EkaQiana Agustin,5,setahun lalu,"Bagus, bisa nyebrang pulau tangkil ya,, TPI syaang toilet  airnya bau bngt",bagus nyebrang pulau tangkil tpi syaang toilet airnya bau bngt,bagus nyebrang pulau tangkil tpi syaang toilet air bau bngt,positif
Yudi “You day” Beib,4,setahun lalu,"Cocok untuk t4 berlibur keluarga,,",cocok t berlibur keluarga,cocok t libur keluarga,netral
dinaryutas,5,setahun lalu,Pemandangannya bagus,pemandangannya bagus,pandang bagus,positif
rustam afandi,5,setahun lalu,Pantainya bersih aman dan nyaman,pantainya bersih aman nyaman,pantai bersih aman nyaman,positif
Novita Zahra,3,setahun lalu,"Aku kira ngitungnya per mobil. Ternyata per orang 35ribu, terus 8 orang dimobil termasuk anak dibawah 5tahun pun dihitung. Padahal bukan weekend 🍂 …",aku kira ngitungnya per mobil ternyata per orang ribu terus orang dimobil termasuk anak dibawah tahun dihitung padahal bukan weekend,aku kira ngitungnya per mobil nyata per orang ribu terus orang mobil masuk anak bawah tahun hitung padahal bukan weekend,netral
yehezkiel wisnu,5,setahun lalu,"Pantai bersih.
Banyak ikan.
Pasir putih.
Masuk 35k/orang
Mobil 10k/parkir.
Rekomen",pantai bersih banyak ikan pasir putih masuk korang mobil kparkir rekomen,pantai bersih banyak ikan pasir putih masuk korang mobil kparkir rekomen,positif
yunita Sitompul,1,setahun lalu,"Kecewa banget, kesel, jauh2 dr palembang. Begitu mau masuk htm 35rb dengan 2 mobil isi 8 orang jadi 300rb. Diminta perdanya tidak bisa menunjukkan . Jdi kami tidak jd masuk. Ini sih udah pungli.  Kesebelahnya jg gt, tiket masuk 50rb walaupun itu udh msuk parkir sama orangnya. Tp tetap aja itu pungli.
Udah jalannya aja jg jelek. Tolonglah pemerintah daerah perhatikan itu.",kecewa banget kesel jauh palembang mau masuk htm rb mobil isi orang jadi rb diminta perdanya tidak menunjukkan jdi tidak jadi masuk udah pungli kesebelahnya jg gt tiket masuk rb walaupun udh msuk parkir sama orangnya tp tetap pungli udah jalannya jg jelek tolonglah pemerintah daerah perhatikan,kecewa banget kesel jauh palembang mau masuk htm rb mobil isi orang jadi rb minta perdanya tidak tunjuk jdi tidak jadi masuk udah pungli belah jg gt tiket masuk rb walaupun udh msuk parkir sama orang tp tetap pungli udah jalan jg jelek tolong perintah daerah perhati,negatif
kAL Jack,5,setahun lalu,Pelabuhan dan pantai terbuka,pelabuhan pantai terbuka,labuh pantai buka,netral
Erwin Yuitasari,5,setahun lalu,Datang dipagi hari masih bersih dan segar,datang dipagi hari bersih segar,datang pagi hari bersih segar,positif
Richa Rachdhan,4,setahun lalu,Pantai Mutun sering pasang.. bagusss tp sayang aja jd kurang menikmaati kalo pas lagi pasang... Tp recommended bgt kalo kalian nyebrang ke Pulau Tangkil... Bagus bangettt seru... Bersih juga... Cocok bgt buat liburan bareng keluarga atau temen.. cobain deh 🤩🥳 …,pantai mutun sering pasang bagusss tp sayang jadi kurang menikmaati kalau pas pasang tp recommended banget kalau kalian nyebrang pulau tangkil bagus bangettt seru bersih cocok banget buat liburan bareng keluarga temen cobain deh,pantai mutun sering pasang bagusss tp sayang jadi kurang menikmaati kalau pas pasang tp recommended banget kalau kalian nyebrang pulau tangkil bagus bangettt seru bersih cocok banget buat libur bareng keluarga temen cobain deh,positif
Vello Jelek,5,setahun lalu,Oke aja sih,oke,oke,netral
Fahdil A Hazain,1,setahun lalu,"Htm masuk nya so so lah, anak kecil ga di itung. 35k per org
Yang TAI nya gazebo kecil 100k, nginep di hotel sekitar aja 150k, ini, gubuk2 an duduk ga sampe 5jam bayar 100k.
Pantai nya banyak karang, ga nyaman maen laut nya. Perahu yg parkir ngerusak VIEW, rame bener nutupin pemandangan.
Masjid rusak.
Coba maen ke Bogor, kita pKe gazebo seharian ada listrik pula, ukuran 3x5m, Kaga bayar cukup bayar uang masuk ajee.
Gmn lampung mau maju, pariwisata nya asal2an.",htm masuk so so anak kecil tidak itung k per org tai gazebo kecil k nginep hotel k gubuk an duduk tidak sampe jam bayar k pantai banyak karang tidak nyaman maen laut perahu parkir ngerusak view rame bener nutupin pemandangan masjid rusak coba maen bogor pke gazebo seharian listrik ukuran xm kaga bayar cukup bayar uang masuk ajee gmn lampung mau maju pariwisata asalan,htm masuk so so anak kecil tidak itung k per org tai gazebo kecil k nginep hotel k gubuk an duduk tidak sampe jam bayar k pantai banyak karang tidak nyaman maen laut perahu parkir ngerusak view rame bener nutupin pandang masjid rusak coba maen bogor pke gazebo hari listrik ukur xm kaga bayar cukup bayar uang masuk ajee gmn lampung mau maju pariwisata asal,negatif
Fitri Sulistyaningrum,4,setahun lalu,"Pantai pasir putih, bagus, view oke
Tapi untuk masuk pantai termasuk mahal.
35k per orang
10k parkir
30k naik banana boat (masih wajar)
Mandi 3k/orang",pantai pasir putih bagus view oke masuk pantai termasuk mahal k per orang k parkir k naik banana boat wajar mandi korang,pantai pasir putih bagus view oke masuk pantai masuk mahal k per orang k parkir k naik banana boat wajar mandi korang,netral
budi santoso,5,setahun lalu,Shubuh berendam di pantai air nya hangat. Banyak yg berendam disini baik yg muda maupun lansia,shubuh berendam pantai air hangat banyak berendam disini baik muda maupun lansia,shubuh rendam pantai air hangat banyak rendam sini baik muda maupun lansia,positif
Faith Akhtar,1,setahun lalu,"Pantainya sebenarnya bagus, tapi ada banyak hal yang perlu diperbaiki, banyak sampah di pinggir pantai, air di area bilas berbau sampah, Anda harus membayar 3000 per orang, tidak sepadan dengan biaya masuknya, di sini Anda harus membayar untuk semuanya, Anda harus membayar untuk ban, Anda harus membayar untuk karpet, dan masih banyak lagi yang harus Anda bayar, pantai ini tidak direkomendasikan bagi mereka yang ingin melihat pemandangan indah, Anda akan membuang-buang uang 😹😹😹😹",pantainya sebenarnya bagus banyak perlu diperbaiki banyak sampah pinggir pantai air area bilas berbau sampah membayar per orang tidak sepadan biaya masuknya sini membayar semuanya membayar ban membayar karpet banyak bayar pantai tidak direkomendasikan melihat pemandangan indah membuangbuang uang,pantai benar bagus banyak perlu baik banyak sampah pinggir pantai air area bilas bau sampah bayar per orang tidak padan biaya masuk sini bayar semua bayar ban bayar karpet banyak bayar pantai tidak rekomendasi lihat pandang indah membuangbuang uang,positif
Lia Nandasari,3,setahun lalu,Lumayan,lumayan,lumayan,netral
Muhammad Rifqi,3,setahun lalu,"Bagus sihh, alamnya bagus, pasirnya putih lumayan bersih, pemandangannya tenang dan indah, tapi… tiket masuk per orang nya 35K ???? Ini tuh emg biaya yang di berlakukan sama pemerintah atau PUNGLI ya??? Udah gitu di dalem nya masih ditagihin sama abang abang parkiran… mending fasilitas nya bagus, ini mushalla nya aja orientasi nya menghadap empang air isi jentik jentik… udah gitu jalanannya ancur, berlobang… sedih dah, padahal bagus dan indah, kalau emang ini harga yg di terapin pemerintah buat pengunjung kok mahal amat ??? Gak sebanding sama fasilitas yang di berikan… (atau apakah pungli y) (bayangin org dateng ber8 boncos dong)",bagus sihh alamnya bagus pasirnya putih lumayan bersih pemandangannya tenang indah tiket masuk per orang k emg biaya berlakukan sama pemerintah pungli udah gitu dalem ditagihin sama abang abang parkiran mending fasilitas bagus mushalla orientasi menghadap empang air isi jentik jentik udah gitu jalanannya ancur berlobang sedih dah padahal bagus indah kalau emang harga terapin pemerintah buat pengunjung mahal tidak sebanding sama fasilitas berikan pungli y bayangin org dateng ber boncos,bagus sihh alam bagus pasir putih lumayan bersih pandang tenang indah tiket masuk per orang k emg biaya laku sama perintah pungli udah gitu dalem ditagihin sama abang abang parkir mending fasilitas bagus mushalla orientasi hadap empang air isi jentik jentik udah gitu jalan ancur berlobang sedih dah padahal bagus indah kalau emang harga terapin perintah buat unjung mahal tidak banding sama fasilitas ikan pungli y bayangin org dateng ber boncos,positif
